id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
3317,COMP_M,9,9_48,M.USER.APP.9,26,118,16,4,None,93.42229199372056,4815.0000794114,4908.42237140512,4800.0,4815.0000794114
3297,COMP_M,3,3_12,M.USER.APP.3,6,82,38,41,None,44.904862579281186,4815.000091154321,4859.904953733602,4800.0,4815.000091154321
1558,COMP_M,6,6_33,6_(32-33),99,100,20,78,6_32,35.44183168316832,4815.000095964974,4850.441927648142,4802.820519928011,4815.000095964974
1876,COMP_M,15,15_81,M.USER.APP.15,55,151,32,13,None,30.135048231511256,4816.0675902025805,4846.202638434092,2700.0,2715.00006608684
724,COMP_M,7,7_38,7_(36-38),106,108,22,44,7_36,46.081135902636916,4816.144198131559,4862.225334034196,4796.144036999799,4816.144198131559
273,COMP_M,16,16_90,16_(89-90),158,159,75,72,16_89,333.93283582089555,4816.61338202033,5150.546217841226,2532.078643757437,2552.0787493583975
843,COMP_M,1,1_4,1_(3-4),73,74,34,82,1_3,92.76494023904382,4817.972270698449,4910.737210937493,2640.9774373053588,2665.977612795225
1534,COMP_M,16,16_87,M.USER.APP.16,63,161,98,17,None,53.94965675057208,4818.6203609798395,4872.570017730412,2200.0,2245.0003918697735
891,COMP_M,14,14_79,14_(76-79),147,150,2,61,14_76,37.21384297520661,4818.91227742142,4856.126120396627,4799.236842952753,4818.355050203507
3355,COMP_M,17,17_92,M.USER.APP.17,64,162,62,97,None,26.586734693877553,4820.000171185813,4846.586905879691,4800.0,4820.000171185813
565,COMP_M,1,1_5,1_(4-5),74,75,82,71,1_4,129.37757437070937,4820.705447597195,4950.083021967905,3519.2631073518387,3543.6183144069596
1353,COMP_M,7,7_41,7_(35-41),105,111,35,9,7_35,33.84034653465346,4821.144285324132,4854.984631858786,4801.51028048476,4821.144285324132
457,COMP_M,12,12_64,12_(63-64),137,133,50,28,12_63,139.75,4821.721035289465,4961.471035289465,2664.003567337143,2685.855793896114
